time,value
1556999815836,20
1556999816336,20
1556999816836,14.884525852578399
1556999817336,20
1556999817836,20
1556999818336,20
1556999818836,11.198661578819138
1556999819336,20
1556999819836,20
1556999820336,20
1556999820836,20
1556999821336,20
1556999821836,20
1556999822336,16.36725410388587
1556999822836,15.416086658590999
1556999823336,20
1556999823836,20
1556999824336,20
1556999824836,20
1556999825336,20
1556999825836,20
1556999826336,13.125512422944484
1556999826836,20
1556999827336,20
1556999827836,18.961292299684906
1556999828336,20
1556999828836,12.102116796310405
1556999829336,20
1556999829836,20
1556999830336,20
1556999830836,20
1556999831336,15.328823829659973
1556999831836,20
1556999832336,20
1556999832836,20
1556999833336,20
1556999833836,11.486041873330402
1556999834336,20
1556999834836,20
1556999835336,19.34031692009531
1556999835836,20
1556999836336,20
1556999836836,20
1556999837336,20
1556999837836,20
1556999838336,12.096824730976557
1556999838836,20
1556999839336,15.261749128053568
1556999839836,19.299644759034603
1556999840336,20
1556999840836,20
1556999841336,20
1556999841836,20
1556999842336,20
1556999842836,20
1556999843336,20
1556999843836,20
1556999844336,20
1556999844836,20
1556999845336,20
1556999845836,16.531180873517272
1556999846336,17.893214827528556
1556999846836,20
1556999847336,20
1556999847836,20
1556999848336,20
1556999848836,20
1556999849336,20
1556999849836,20
1556999850336,20
1556999850836,20
1556999851336,20
1556999851836,20
1556999852336,20
1556999852836,20
1556999853336,20
1556999853836,20
1556999854336,19.721735738489965
1556999854836,20
1556999855336,16.897840514315764
1556999855836,20
1556999856336,18.446893076852753
1556999856836,20
1556999857336,13.086051469214384
1556999857836,20
1556999858336,20
1556999858836,20
1556999859336,20
1556999859836,16.783521472613845
1556999860336,20
1556999860836,20
1556999861336,20
1556999861836,20
1556999862336,20
1556999862836,20
1556999863336,20
1556999863836,20
1556999864336,15.200815869493763
1556999864836,20
1556999865336,20
